32, 24, 32, Dunegony.png, Rivery.png, 
0:10, 0:0, 1:7, 0:36, 0:33, 1:45, 1:86, 0:9, 0:14, 1:31, 0:40, 0:33, 1:147, 1:88, 0:40, 1:63, 1:145, 0:0, 0:11, 0:3, 1:91, 0:22, 0:46, 1:140, 1:156, 1:10, 1:19, 1:11, 1:22, 0:32, 1:87, 0:41, 
1:40, 0:8, 1:79, 1:76, 0:0, 1:160, 1:83, 1:34, 0:34, 0:28, 1:113, 0:22, 1:49, 1:121, 1:5, 0:0, 1:69, 1:63, 0:4, 1:12, 1:5, 0:40, 0:27, 0:33, 1:154, 0:26, 1:111, 1:46, 0:36, 1:52, 1:99, 1:3, 
0:22, 1:51, 1:8, 0:6, 1:115, 0:7, 1:154, 0:32, 0:44, 1:32, 1:151, 1:130, 0:2, 0:27, 1:113, 0:47, 0:7, 1:88, 0:45, 0:38, 1:70, 0:36, 0:7, 0:45, 1:122, 0:9, 1:22, 1:13, 0:23, 1:131, 1:55, 0:13, 
0:33, 0:28, 0:35, 1:4, 1:113, 0:47, 0:43, 1:138, 0:26, 1:58, 1:25, 1:120, 0:46, 0:3, 1:130, 0:34, 0:19, 0:5, 1:5, 1:74, 0:12, 1:59, 0:34, 1:48, 0:48, 0:4, 0:17, 1:114, 0:7, 0:10, 1:71, 1:153, 
1:37, 1:125, 0:16, 1:156, 0:21, 1:41, 1:121, 0:31, 0:18, 1:0, 1:106, 1:4, 0:44, 1:150, 1:156, 0:11, 1:105, 1:120, 0:47, 1:100, 1:136, 1:111, 1:70, 0:19, 1:117, 1:158, 0:33, 0:40, 1:151, 1:111, 0:25, 1:13, 
0:16, 0:14, 1:4, 0:48, 0:17, 1:118, 1:91, 0:20, 0:13, 1:3, 0:18, 0:35, 1:2, 1:38, 1:113, 0:25, 0:14, 1:83, 0:30, 1:50, 1:141, 0:0, 1:115, 1:151, 0:36, 0:7, 0:7, 1:78, 0:19, 1:71, 1:112, 1:64, 
0:25, 1:100, 0:31, 1:62, 1:94, 1:19, 0:20, 0:40, 1:33, 0:20, 0:44, 1:157, 0:39, 0:34, 0:2, 1:114, 1:13, 1:59, 1:112, 1:64, 1:18, 1:67, 1:160, 1:20, 1:131, 1:143, 1:52, 1:100, 1:67, 0:39, 0:48, 0:20, 
1:93, 1:61, 0:16, 0:44, 0:3, 1:110, 1:26, 0:40, 1:146, 0:8, 1:12, 1:5, 0:14, 1:117, 0:5, 1:157, 1:156, 0:45, 1:96, 0:38, 0:22, 1:9, 0:37, 0:17, 0:3, 1:68, 1:103, 0:35, 1:128, 0:5, 1:145, 0:26, 
1:100, 0:1, 0:0, 0:18, 1:119, 1:68, 0:34, 1:18, 0:18, 1:78, 0:11, 0:1, 1:84, 0:20, 0:8, 0:17, 0:37, 1:149, 0:37, 0:41, 0:47, 0:12, 0:3, 1:26, 1:29, 1:41, 1:113, 0:38, 0:30, 0:6, 0:4, 0:43, 
0:35, 1:125, 1:12, 0:12, 1:149, 1:35, 1:155, 1:111, 1:39, 1:52, 1:3, 1:3, 0:32, 1:100, 0:6, 0:44, 0:17, 1:52, 0:13, 1:127, 1:140, 1:82, 0:7, 1:150, 0:23, 0:8, 1:110, 0:22, 0:17, 1:51, 0:40, 0:27, 
1:137, 0:23, 0:46, 0:40, 1:64, 1:36, 1:57, 0:33, 1:99, 1:26, 1:114, 1:83, 0:42, 0:16, 1:65, 1:27, 0:35, 1:75, 1:18, 1:91, 1:45, 1:26, 1:25, 0:28, 0:5, 1:60, 0:10, 0:40, 1:45, 0:32, 0:29, 1:154, 
0:38, 0:21, 1:109, 1:117, 1:32, 0:27, 0:34, 0:38, 1:126, 0:32, 1:41, 0:12, 0:2, 1:134, 0:30, 0:2, 0:18, 1:83, 1:114, 0:17, 1:134, 1:134, 0:44, 0:12, 1:104, 0:20, 1:103, 1:140, 1:56, 0:0, 1:32, 0:21, 
0:3, 1:158, 0:37, 0:2, 1:60, 1:1, 0:0, 0:13, 1:96, 0:3, 0:47, 1:63, 1:77, 0:18, 0:6, 1:120, 1:29, 0:10, 0:38, 1:134, 0:43, 1:15, 0:11, 0:7, 0:34, 1:91, 1:122, 1:161, 1:146, 0:18, 0:29, 0:5, 
0:45, 0:17, 1:112, 0:20, 0:14, 0:18, 0:16, 0:0, 0:37, 1:119, 0:45, 1:69, 0:12, 0:20, 1:117, 1:83, 0:48, 0:46, 0:46, 1:46, 0:16, 0:1, 0:32, 0:40, 1:16, 0:40, 1:37, 0:13, 1:116, 0:39, 0:12, 1:27, 
