32, 24, 32, Maps/Dunegony.png,
0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 
0:41, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:28, 0:28, 0:28, 0:28, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:41, 
0:41, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:28, 0:28, 0:28, 0:28, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:41, 
0:41, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:2, 0:2, 0:10, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:10, 0:2, 0:2, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:41, 
0:41, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:2, 0:2, 0:10, 0:10, 0:10, 0:2, 0:2, 0:10, 0:10, 0:10, 0:2, 0:2, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:37, 0:41, 
0:41, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:41, 
0:41, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:28, 0:28, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:41, 
0:41, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:10, 0:2, 0:2, 0:10, 0:10, 0:2, 0:2, 0:10, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:41, 
0:41, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:10, 0:2, 0:2, 0:28, 0:28, 0:2, 0:2, 0:10, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:41, 
0:41, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:10, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:10, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:41, 
0:41, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:28, 0:28, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:41, 
0:41, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:10, 0:2, 0:2, 0:10, 0:10, 0:2, 0:2, 0:10, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:41, 
0:41, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:10, 0:2, 0:2, 0:28, 0:28, 0:2, 0:2, 0:10, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:2, 0:41, 
0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 0:41, 
